1 Poniedzia³ek szko³a tak luz dodatkowe Nauka
2 Wtorek szko³a nie sprawdzian z-wolne Nauka
3 Œroda szko³a nie luz z-wolne Gra
4 Czwartek szko³a tak sprawdzian dodatkowe Nauka
5 Pi¹tek szko³a tak luz z-wolne Gra
6 Sobota wolne tak luz z-wolne Gra
7 Niedziela wolne tak luz z-wolne Gra
8 Poniedzia³ek szko³a tak luz dodatkowe Nauka
9 Wtorek szko³a nie sprawdzian z-wolne Nauka
10 Œroda szko³a tak sprawdzian z-wolne Nauka
11 Czwartek szko³a tak sprawdzian dodatkowe Nauka
12 Pi¹tek szko³a nie luz z-wolne Gra
13 Sobota wolne nie luz z-wolne Gra
14 Niedziela wolne nie luz z-wolne Gra
15 Poniedzia³ek szko³a nie luz dodatkowe Gra
16 Wtorek szko³a tak luz z-wolne Gra
17 Œroda szko³a nie sprawdzian z-wolne Nauka
18 Czwartek szko³a nie luz dodatkowe Gra
19 Pi¹tek szko³a nie luz z-wolne Gra
20 Sobota wolne nie luz z-wolne Gra
21 Niedziela wolne nie sprawdzian z-wolne Nauka
